# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,,,,,,,,
# Mon Aug 26 11:19:54 2024,,,,,,,,,,,,
id,name,host,numStars,numPlanets,discoveryMethod,discYear,discFacility,controv_flag,mass,temperatureStar,metalRatio,releasedate
91,55 Cnc c,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,0,1.271.320,-1,*,2016-10-13
92,55 Cnc c,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,0,209.767,5317.89,[Fe/H],2021-09-20
93,55 Cnc c,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,0,171.620,5250.00,[M/H],2014-05-14
94,55 Cnc c,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,0,254.300,5250.00,[M/H],2014-05-16
95,55 Cnc c,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,0,174.800,-1,*,2014-10-29
96,55 Cnc d,55 Cnc,2,5,Radial Velocity,2002,Lick Observatory,0,19.069.000,5250.00,[M/H],2014-08-21
97,55 Cnc d,55 Cnc,2,5,Radial Velocity,2002,Lick Observatory,0,18.433.000,5250.00,[M/H],2014-08-21
98,55 Cnc d,55 Cnc,2,5,Radial Velocity,2002,Lick Observatory,0,14.937.000,-1,*,2014-08-21
99,55 Cnc d,55 Cnc,2,5,Radial Velocity,2002,Lick Observatory,0,16.527.160,-1,*,2016-10-13
100,55 Cnc d,55 Cnc,2,5,Radial Velocity,2002,Lick Observatory,0,2.161.200,-1,*,2014-10-29
101,55 Cnc d,55 Cnc,2,5,Radial Velocity,2002,Lick Observatory,0,3.070.000,5172.00,[Fe/H],2021-02-11
102,55 Cnc d,55 Cnc,2,5,Radial Velocity,2002,Lick Observatory,0,7.945.710,5317.89,[Fe/H],2021-09-20
103,55 Cnc d,55 Cnc,2,5,Radial Velocity,2002,Lick Observatory,0,12.713.200,-1,[Fe/H],2016-10-06
104,55 Cnc d,55 Cnc,2,5,Radial Velocity,2002,Lick Observatory,0,2.543.000,5250.00,[M/H],2014-05-14
105,55 Cnc d,55 Cnc,2,5,Radial Velocity,2002,Lick Observatory,0,2.542.500,5250.00,[M/H],2014-05-16
106,55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,0,32.000,5172.00,[Fe/H],2021-02-11
107,55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,0,-1,-1,*,2019-10-24
108,55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,0,26.061,5250.00,[M/H],2014-08-21
109,55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,0,-1,5250.00,*,2022-08-08
110,55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,0,31.000,5250.00,[M/H],2019-01-31
111,55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,0,-1,-1,*,2023-09-19
112,55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,0,-1,5250.00,[M/H],2020-06-24
113,55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,0,58.000,5234.00,[Fe/H],2015-12-03
114,55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,0,37.000,5172.00,[Fe/H],2019-08-29
115,55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,0,317.830,-1,*,2016-10-13
116,55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,0,23.201,-1,*,2014-10-29
117,55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,0,38.000,5250.00,[M/H],2014-05-16
118,55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,0,31.000,5250.00,[M/H],2016-01-21
119,55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,0,155.730,5250.00,[M/H],2014-08-21
120,55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,0,43.000,-1,*,2023-08-07
121,55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,0,35.000,-1,*,2014-05-14
122,55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,0,44.496,5317.89,[Fe/H],2022-05-09
123,55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,0,-1,5234.00,[Fe/H],2024-03-04
124,55 Cnc f,55 Cnc,2,5,Radial Velocity,2007,Multiple Observatories,0,240.000,5172.00,[Fe/H],2021-02-11
125,55 Cnc f,55 Cnc,2,5,Radial Velocity,2007,Multiple Observatories,0,696.020,5250.00,[M/H],2014-08-21
126,55 Cnc f,55 Cnc,2,5,Radial Velocity,2007,Multiple Observatories,0,254.300,5250.00,[M/H],2014-05-14
127,55 Cnc f,55 Cnc,2,5,Radial Velocity,2007,Multiple Observatories,0,298.759,5317.89,[Fe/H],2021-09-20
128,55 Cnc f,55 Cnc,2,5,Radial Velocity,2007,Multiple Observatories,0,1.271.300,5250.00,[M/H],2014-05-16
129,55 Cnc f,55 Cnc,2,5,Radial Velocity,2007,Multiple Observatories,0,381.400,-1,*,2014-10-29
130,55 Cnc f,55 Cnc,2,5,Radial Velocity,2007,Multiple Observatories,0,1.239.500,5250.00,[M/H],2014-08-21
131,6 Lyn b,6 Lyn,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,0,-1,4978.00,[Fe/H],2014-08-21
